Food_ID,Food_Name,Cuisine,Type,Calories,Protein,Fat,Carbs,Meal_Type,Price
1,Vegan Energy Balls,Mediterranean,Vegan,364,29.1,6.0,76.8,Snack,64
2,Kale Chips,Italian,Vegan,643,10.3,13.9,58.8,Snack,146
3,Hummus with Veggies,Thai,Vegan,245,8.4,18.9,59.5,Snack,61
4,Roasted Chickpeas,Continental,Vegan,347,11.3,2.4,74.0,Snack,109
5,Vegan Protein Bar,Mexican,Vegan,365,7.7,29.5,27.6,Snack,83
6,Fruit Salad,Mexican,Vegan,611,30.7,21.6,29.5,Snack,163
7,Peanut Butter Dates,Indian,Vegan,223,28.7,6.6,46.6,Snack,162
8,Vegan Smoothie,Thai,Vegan,505,10.0,15.8,44.0,Snack,193
9,Trail Mix,Mediterranean,Vegan,658,17.4,9.8,34.6,Snack,170
10,Avocado Toast,Indian,Vegan,483,17.2,4.9,16.4,Snack,125
11,Coconut Yogurt,Indian,Vegan,675,39.2,25.4,26.5,Snack,92
12,Vegan Muffins,Chinese,Vegan,278,38.3,3.2,59.3,Snack,197
13,Granola,Italian,Vegan,255,31.4,19.6,11.7,Snack,79
14,Vegan Popcorn,Indian,Vegan,393,16.0,8.3,12.1,Snack,186
15,Chia Pudding,Chinese,Vegan,346,37.4,11.2,36.7,Snack,85
16,Vegan Buddha Bowl,Mexican,Vegan,364,25.4,18.0,38.3,Lunch,247
17,Quinoa Salad,Thai,Vegan,349,39.8,12.4,47.6,Lunch,230
18,Vegan Wrap,Italian,Vegan,497,15.1,22.3,51.3,Lunch,278
19,Grilled Veggie Sandwich,Italian,Vegan,278,32.0,28.0,44.9,Lunch,246
20,Lentil Soup,Continental,Vegan,397,39.6,17.7,36.2,Lunch,203
21,Falafel with Hummus,Continental,Vegan,364,32.0,17.7,27.0,Lunch,224
22,Stuffed Bell Peppers,Italian,Vegan,386,7.7,5.1,38.6,Lunch,211
23,Vegan Pasta,Mexican,Vegan,634,6.4,21.6,45.4,Lunch,346
24,Veggie Stir Fry,Chinese,Vegan,692,34.6,22.5,35.9,Lunch,333
25,Tofu Salad,Chinese,Vegan,463,20.2,13.9,29.9,Lunch,253
26,Sweet Potato Bowl,Italian,Vegan,267,37.4,25.1,71.5,Lunch,235
27,Vegan Burrito,Italian,Vegan,477,30.1,11.3,40.9,Lunch,289
28,Couscous Salad,Continental,Vegan,495,36.1,25.5,68.7,Lunch,300
29,Vegan Sushi,Chinese,Vegan,381,16.5,24.1,57.9,Lunch,245
30,Chickpea Curry,Mexican,Vegan,391,10.9,13.7,15.2,Lunch,224
31,Vegan Pizza,Mediterranean,Vegan,345,19.6,10.9,26.9,Dinner,203
32,Tofu Stir Fry,Thai,Vegan,151,33.0,23.4,39.9,Dinner,234
33,Vegan Burger,Continental,Vegan,633,11.7,25.9,49.2,Dinner,307
34,Vegan Lasagna,Italian,Vegan,223,6.9,7.5,63.3,Dinner,246
35,Stuffed Eggplant,Continental,Vegan,403,19.8,5.3,41.1,Dinner,279
36,Vegan Tacos,Mediterranean,Vegan,460,11.5,18.2,77.2,Dinner,287
37,Vegan Chili,Continental,Vegan,256,39.4,3.1,43.0,Dinner,238
38,Mushroom Risotto,Thai,Vegan,692,18.2,16.6,15.0,Dinner,343
39,Vegan Paella,Mediterranean,Vegan,527,16.8,22.1,39.7,Dinner,282
40,Thai Green Curry,Indian,Vegan,504,18.1,28.6,61.2,Dinner,252
41,Vegan Shepherd’s Pie,Chinese,Vegan,471,20.0,13.1,55.8,Dinner,252
42,Cauliflower Steaks,Italian,Vegan,391,6.4,22.3,43.3,Dinner,200
43,Vegan Noodles,Mediterranean,Vegan,194,28.8,21.9,57.3,Dinner,245
44,Vegan Stew,Chinese,Vegan,334,39.2,26.0,55.9,Dinner,227
45,Jackfruit Curry,Italian,Vegan,236,5.5,29.3,61.8,Dinner,227
46,Vegan Pancakes,Thai,Vegan,157,5.5,5.1,70.6,Breakfast,174
47,Oatmeal,Mediterranean,Vegan,161,9.2,20.1,18.6,Breakfast,199
48,Vegan Smoothie Bowl,Chinese,Vegan,261,16.9,9.0,54.3,Breakfast,168
49,Avocado Toast,Thai,Vegan,402,11.6,2.4,44.2,Breakfast,172
50,Vegan Waffles,Italian,Vegan,440,35.7,3.2,23.5,Breakfast,121
51,Chia Pudding,Italian,Vegan,601,8.5,4.5,71.5,Breakfast,115
52,Vegan Scramble,Mediterranean,Vegan,223,24.7,23.8,54.9,Breakfast,189
53,Fruit Bowl,Continental,Vegan,292,20.0,26.6,19.4,Breakfast,196
54,Granola with Almond Milk,Chinese,Vegan,619,39.8,21.1,62.5,Breakfast,152
55,Vegan Bagel with Spread,Continental,Vegan,678,10.4,9.0,47.6,Breakfast,139
56,Tofu Scramble Wrap,Mediterranean,Vegan,195,15.0,10.2,37.7,Breakfast,141
57,Vegan Muffins,Continental,Vegan,187,11.7,13.0,77.2,Breakfast,103
58,Peanut Butter Toast,Chinese,Vegan,451,14.5,3.2,31.8,Breakfast,100
59,Vegan Yogurt Bowl,Continental,Vegan,258,18.5,20.1,48.6,Breakfast,124
60,Vegan Overnight Oats,Indian,Vegan,567,10.3,29.6,20.1,Breakfast,111
61,Paneer Tikka,Italian,Veg,670,31.5,5.0,15.5,Snack,178
62,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,139
63,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,73
64,Samosa,Thai,Veg,403,16.7,6.6,16.0,Snack,83
65,Veg Cutlet,Thai,Veg,269,19.8,11.1,76.6,Snack,80
66,Bhel Puri,Mediterranean,Veg,311,13.8,10.7,74.2,Snack,99
67,Veg Pakora,Italian,Veg,207,17.3,3.5,44.9,Snack,166
68,Veg Momos,Chinese,Veg,339,9.5,25.7,79.9,Snack,85
69,Veg Spring Roll,Italian,Veg,385,9.3,25.1,65.4,Snack,193
70,Masala Corn,Thai,Veg,408,23.0,22.2,32.7,Snack,134
71,Veg Burger,Mediterranean,Veg,350,34.4,27.3,39.8,Snack,161
72,Cheese Toast,Chinese,Veg,250,30.1,6.5,20.2,Snack,83
73,Veg Frankie,Continental,Veg,439,28.3,13.9,24.8,Snack,147
74,Veg Pizza Slice,Chinese,Veg,276,22.4,11.7,76.7,Snack,139
75,Idli with Chutney,Indian,Veg,168,15.7,21.8,47.9,Snack,153
76,Paneer Butter Masala,Mexican,Veg,254,7.2,3.0,52.1,Lunch,208
77,Dal Fry with Rice,Chinese,Veg,376,30.9,22.7,62.5,Lunch,233
78,Chole Bhature,Indian,Veg,368,33.0,28.4,63.9,Lunch,226
79,Vegetable Pulao,Chinese,Veg,250,7.3,9.8,59.1,Lunch,216
80,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,222
81,Palak Paneer,Continental,Veg,307,20.5,25.6,55.9,Lunch,232
82,Veg Biryani,Thai,Veg,323,29.0,8.9,78.7,Lunch,229
83,Veg Thali,Continental,Veg,647,38.3,14.9,40.2,Lunch,319
84,Aloo Paratha,Thai,Veg,677,21.8,13.3,13.5,Lunch,315
85,Kadhi Chawal,Indian,Veg,162,8.7,14.5,79.3,Lunch,224
86,Vegetable Khichdi,Continental,Veg,367,24.1,9.6,26.9,Lunch,249
87,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,307
88,Veg Kofta Curry,Mexican,Veg,303,11.8,18.5,50.4,Lunch,240
89,Bhindi Masala,Continental,Veg,360,9.7,20.6,44.9,Lunch,228
90,Mix Veg Curry,Indian,Veg,220,18.2,13.3,75.3,Lunch,239
91,Paneer Tikka Masala,Mexican,Veg,699,26.8,27.2,61.5,Dinner,332
92,Veg Handi,Thai,Veg,337,32.2,26.1,79.6,Dinner,247
93,Paneer Lababdar,Italian,Veg,518,20.9,28.6,27.8,Dinner,253
94,Veg Fried Rice,Continental,Veg,346,5.2,14.0,16.1,Dinner,200
95,Veg Hakka Noodles,Chinese,Veg,595,38.6,16.7,10.6,Dinner,263
96,Stuffed Paratha,Chinese,Veg,544,35.9,15.2,56.9,Dinner,274
97,Matar Paneer,Indian,Veg,412,6.1,9.6,61.5,Dinner,253
98,Veg Korma,Chinese,Veg,344,26.7,17.0,41.2,Dinner,250
